Carrom,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,Group A,,Group B,,Finals
,Teal,5,Red,5,,,,,,,,,,,
,Purple,10,Blue,15,,1,Teal vs Purple,7,Red vs Blue,,Yellow,,Blue,,
,Yellow,10,Green,5,,2,Teal vs Yellow,8,Red vs Green,,Purple,,Brown,,
,Pink,5,Brown,5,,3,Teal vs Pink,9,Red vs Brown,,,,,,
,,,,,,4,Purple vs Yellow,10,Blue vs Green,,Yellow vs Brown,,Blue vs Purple,,
,,,,,,5,Purple vs Pink,11,Blue vs Brown,,,,,,
,,,,,,6,Yellow vs Pink,12,Green vs Brown,,,,,,
,,,,,,,,,,,,,,,
Table Tennis,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,Group A,,Group B,,Finals
,Green,10,Pink,5,,,,,,,,,,,
,Blue,5,Yellow,10,,1,Green vs Blue,7,Pink vs Yellow,,Red,,Teal,,
,Purple,,Teal,15,,2,Green vs Purple,8,Pink vs Teal,,Green,,Yellow,,
,Red,15,Brown,,,3,Green vs Red,9,Pink vs Brown,,,,,,
,,,,,,4,Blue vs Purple,10,Yellow vs Teal,,Red vs Yellow,,Teal vs Green,,
,,,,,,5,Blue vs Red,11,Yellow vs Brown,,,,,,
,,,,,,6,Purple vs Red,12,Teal vs Brown,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Foosball,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,,,,,
,Brown,,Blue,5,,,,,,,,,,,
,Red,15,Pink,10,,1,Brown vs Red,7,Blue vs Pink,,Red,,Green,,
,Yellow,10,Green,15,,2,Brown vs Yellow,8,Blue vs Green,,Yellow,,Pink,,
,Teal,5,Purple,,,3,Brown vs Teal,9,Blue vs Purple,,,,,,
,,,,,,4,Red vs Yellow,10,Pink vs Green,,Red vs Pink,,Green vs Yellow,,
,,,,,,5,Red vs Teal,11,Pink vs Purple,,,,,,
,,,,,,6,Yellow vs Teal,12,Green vs Purple,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cricket mens,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,Group A,,Group B,,Finals
,Red,30,Yellow,,,,,,,,Red,,Purple,,
,Blue,10,Purple,30,,1,Red vs Blue,7,Yellow vs Purple,,Pink,,Green,,
,Pink,20,Brown,10,,2,Red vs Pink,8,Yellow vs Brown,,,,,,
,Teal,,Green,20,,3,Red vs Teal,9,Yellow vs Green,,,,,,
,,,,,,4,Blue vs Pink,10,Purple vs Brown,,Red vs green,,Purple vs pink,,
,,,,,,5,Blue vs Teal,11,Purple vs Green,,,,,,
,,,,,,6,Pink vs Teal,12,Brown vs Green,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Football,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,,,,,
,Red,10,Blue,,,,,,,,Green,,Teal,,
,Yellow,,Pink,10,,1,Red vs Yellow,7,Blue vs Pink,,Purple,,Brown,,
,Green,30,Teal,30,,2,Red vs Green,8,Blue vs Teal,,,,,,
,Purple,20,Brown,20,,3,Red vs Purple,9,Blue vs Brown,,,,,,
,,,,,,4,Yellow vs Green,10,Pink vs Teal,,,,,,
,,,,,,5,Yellow vs Purple,11,Pink vs Brown,,,,,,
,,,,,,6,Green vs Purple,12,Teal vs Brown,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pickleball men,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,,,,,
,Blue,10,Red,10,,,,,,,,,,,
,Yellow,,Pink,5,,1,Blue vs Yellow,7,Red vs Pink,,Teal,,Purple,,
,Brown,5,Green,5,,2,Blue vs Brown,8,Red vs Green,,Blue,,Red,,
,Teal,15,Purple,10,,3,Blue vs Teal,9,Red vs Purple,,,,,,
,,,,,,4,Yellow vs Brown,10,Pink vs Green,,,,,,
,,,,,,5,Yellow vs Teal,11,Pink vs Purple,,,,,,
,,,,,,6,Brown vs Teal,12,Green vs Purple,,,,,,
,,,,,,,,,,,,,,,
Pickleball women,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,,,,,
,Blue,5,Red,5,,,,,,,,,,,
,Yellow,15,Pink,10,,1,Blue vs Yellow,7,Red vs Pink,,Yellow,,Purple,,
,Brown,,Green,,,2,Blue vs Brown,8,Red vs Green,,Teal,,Pink,,
,Teal,10,Purple,15,,3,Blue vs Teal,9,Red vs Purple,,,,,,
,,,,,,4,Yellow vs Brown,10,Pink vs Green,,,,,,
,,,,,,5,Yellow vs Teal,11,Pink vs Purple,,,,,,
,,,,,,6,Brown vs Teal,12,Green vs Purple,,,,,,
,,,,,,,,,,,,,,,
Chess,Pool A,Current Score,Pool B,Current Score,,,Pool A Fixtures,,Pool B Fixtures,,Group A,,Group B,,Finals
,Pink,15,Blue,15,,,,,,,,,,,
,Yellow,10,Green,5,,1,Pink vs Yellow,7,Blue vs Green,,,,,,
,Brown,,Teal,10,,2,Pink vs Brown,8,Blue vs Teal,,,,,,
,Red,5,Purple,,,3,Pink vs Red,9,Blue vs Purple,,,,,,
,,,,,,4,Yellow vs Brown,10,Green vs Teal,,,,,,
,,,,,,5,Yellow vs Red,11,Green vs Purple,,,,,,
,,,,,,6,Brown vs Red,12,Teal vs Purple,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cricket womens,Current Score,,,Current Score,,,Clubbed teams,,,,Brown + Pink,,Finals,,"Brown + Pink VS
Yellow + Purple"
,Green,,Blue,5,,,Green + Teal vs Yellow + Purple,,,,Yellow + Purple,,,,
,Teal,,Red,5,,,Green + Teal vs Blue + Red,,,,Blue + Red,,3rd place:,,"Blue + Red vs
Green + Teal"
,Yellow,10,Brown,15,,,Green + Teal vs Brown + Pink,,,,Green + Teal,,,,
,Purple,10,Pink,15,,,Yellow + Purple vs Blue + Red,,,,,,,,
,,,,,,,Yellow + Purple vs Brown + Pink,,,,,,,,
,,,,,,,Blue + Red vs Brown + Pink,,,,,,,,
