Date,Sport/ Category,Teams,Winners,Points
30th March,Men Cricket,Red vs Pink,Red,10
30th March,Men Cricket,Blue vs Teal,Blue,10
30th March,Women Cricket,Green + Teal vs Yellow + Purple,Yellow+Purple,5+5
,,,,
1st April,Womens Cricket,Green + Teal vs Blue + Red,Blue + Red,5+5
1st April,Mens Football,Red vs Yellow,Red,10
1st April,Mens Football,Green vs Purple,Green,10
1st April,Mens Football,Blue vs Pink,Pink,10
1st April,Mens Football,Teal vs Brown,Teal,10
,,,,
6th April,Carrom,Teal vs Pink,Teal,5
6th April,Carrom,Red vs Brown,Brown,5
6th April,Carrom,Blue vs Brown,Blue,5
6th April,Carrom,Blue vs Green,Blue,5
6th April,Carrom,Purple vs Yellow,Yellow,5
6th April,Carrom,Purple vs Pink,Purple,5
,,,,
7th April,Women Cricket,Green + Teal vs Brown + Pink,Brown + Pink,5+5
7th April,Men Cricket,Blue vs Pink,Pink,10
7th April,Women Cricket,Blue + Red vs Brown + Pink,Brown + Pink,5+5
7th April,Men Cricket,Red vs Teal,Red,10
7th April,Men Cricket,Purple vs Brown,Purple,10
,,,,
8th April,Chess,Pink vs Red,Pink,5
8th April,Chess,Yellow vs Brown,Yellow,5
8th April,Chess,Yellow vs Red,Yellow,5
8th April,Chess,Teal vs Purple,Teal,5
8th April,Chess,Brown vs Red,Red,5
8th April,Chess,Green vs Teal,Teal,5
,,,,
9th April,Mens Cricket,Yellow vs Green,Green,10
9th April,Football,Red vs Green,Green,10
9th April,Football,Yellow vs Purple,Purple,10
9th April,Football,Blue vs Teal,Teal,10
9th April,Football,Pink vs Brown,Brown,10
,,,,
10th April,Table Tennis,Yellow vs Teal,Teal,5
10th April,Table Tennis,Pink vs Brown,Pink,5
10th April,Table Tennis,Green vs Red,Red,5
10th April,Table Tennis,Blue vs Purple,Blue,5
10th April,Table Tennis,Yellow vs Brown,Yellow,5
10th April,Table Tennis,Purple vs Red,Red,5
10th April,Table Tennis,Pink vs Teal,Teal,5
10th April,Table Tennis,Blue vs Red,Red,5
,,,,
13th April,Women Cricket,Yellow + Purple vs Brown + Pink,Brown + Pink,5+5
13th April,Men Cricket,Brown vs Green,Green,10
13th April,Men Cricket,Yellow vs Purple,Purple,10
13th April,Men Cricket,Pink vs Teal,Pink,10
13th April,Men Cricket,Red vs Blue,Red,10
,,,,
14th April,Table tennis,Teal vs Brown,Teal,5
14th April,Table tennis,Green vs Purple,Green,5
14th April,Table tennis,Pink vs Yellow,Yellow,5
14th April,Table tennis,Green vs Blue,Green,5
,,,,
14th April,Carrom,Red vs Blue,Blue,5
14th April,Carrom,Red vs Green,Red,5
,,,,
15th April,Pickleball Men,Brown vs Teal,Teal,5
15th April,Pickleball Men,Blue vs Yellow,Blue,5
15th April,Pickleball Men,Red vs Pink,Red,5
15th April,Pickleball Men,Green vs Purple,Green,5
15th April,Pickleball Women,Blue vs Teal,Teal,5
15th April,Pickleball Women,Red vs Purple,Purple,5
15th April,Pickleball Women,Yellow vs Brown,Yellow,5
15th April,Pickleball Women,Pink vs Green,Pink,5
,,,,
16th April,Chess,Blue vs Green,Blue,5
16th April,Chess,Blue vs Teal,Blue,5
16th April,Chess,Blue vs Purple,Blue,5
16th April,Chess,Green vs Purple,Green,5
16th April,Chess,Pink vs Yellow,Pink,5
,,,,
17th April,,,,
17th April,,,,
